feature_name,dose,pvalue,tstat,fc
M86T367_1,1,0.229902781,-1.273832858,0.885092089
M86T354_1,1,0.078538423,-1.9824429,0.820460376
M86T354_6,1,0.514901454,-0.669530247,0.95223999
M86T367_6,1,0.463813535,-0.767380566,0.948529337
M87T473_2,1,0.333047151,-1.040053072,0.880152542
M87T333,1,0.294962232,-1.094420451,0.961684602
M87T578,1,0.262064744,1.189882851,1.066522388
M87T544,1,0.156212552,1.554097084,1.200333122
M87T380,1,0.06607117,-2.061371386,0.866471305
M87T419,1,0.099700199,-1.98905904,0.821975541
M87T460,1,0.178337303,-1.423996321,0.926989379
M87T426,1,0.962485086,0.04829545,1.007553479
M87T83_2,1,0.64304823,0.478537308,1.034811704
M87T431,1,0.298118785,-1.099962773,0.876514621
M87T508,1,0.414549721,0.848110444,1.08786238
M87T354_1,1,0.516275506,-0.698867939,0.931619687
M87T367_1,1,0.242565999,-1.253302396,0.892860918
M87T354_2,1,0.116707867,-1.720340835,0.841175466
M87T367_2,1,0.20211876,-1.368830927,0.897899819
M87T354_3,1,0.070071914,-2.019402142,0.833919686
M87T367_3,1,0.107560403,-1.793034931,0.870648237
M87T269_1,1,9.47E-05,-5.551587522,0.471962896
M87T224_1,1,0.511084448,-0.694346354,0.765395848
M87T269_2,1,7.88E-05,-5.92585734,0.316231936
M88T224_1,1,0.066301259,2.22894701,1.178531342
M88T269,1,0.197783159,1.677426731,1.70134497
M88T534,1,0.371884604,-0.958317772,0.895953255
M88T456,1,0.011219142,2.962937335,1.144535186
M88T109,1,0.760837892,0.313202115,1.049138504
M88T492,1,0.248429252,-1.26470859,0.875130709
M88T547,1,0.42271524,-0.840614901,0.889896014
M88T460,1,0.056770916,-2.101992705,0.827666081
M88T386,1,0.695874766,0.40677259,1.075847116
M88T431,1,0.865109391,-0.179935852,0.967701459
M88T491,1,0.340896846,1.096894496,1.239653268
M88T354,1,0.072367635,-1.969961732,0.80596086
M88T367,1,0.43725491,-0.816887623,0.909831573
M89T218_1,1,0.206274569,-1.362898318,0.894200234
M89T527,1,0.055457842,-2.145483093,0.880366502
M89T56,1,0.00664502,5.167877802,3.663834945
M89T268,1,3.63E-05,-6.598669391,0.322807017
M89T578,1,0.73052402,0.3580125,1.016966921
